# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
"# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>."
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 343         4.313       51.893      3.50        Rotterdam Geulhaven
# DD        : Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord; 90=oost; 180=zuid; 270=west; 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Mean wind direction (in degrees) during the 10-minute period preceding the time of observation (360=north; 90=east; 180=south; 270=west; 0=calm 990=variable)
# FH        : Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Hourly mean wind speed (in 0.1 m/s)
# STN,YYYYMMDD,H,   DD,   FH
  343,20150101,    1,  220,   60
  343,20150101,    2,  210,   70
  343,20150101,    3,  200,   70
  343,20150101,    4,  220,   70
  343,20150101,    5,  210,   70
  343,20150101,    6,  190,   70
  343,20150101,    7,  200,   80
  343,20150101,    8,  220,   70
  343,20150101,    9,  190,   70
  343,20150101,   10,  190,   70
  343,20150101,   11,  220,   80
  343,20150101,   12,  230,   80
  343,20150101,   13,  210,   80
  343,20150101,   14,  190,   70
  343,20150101,   15,  190,   80
  343,20150101,   16,  190,   80
  343,20150101,   17,  190,  100
  343,20150101,   18,  190,  100
  343,20150101,   19,  200,  100
  343,20150101,   20,  200,  100
  343,20150101,   21,  200,  110
  343,20150101,   22,  200,  120
  343,20150101,   23,  200,  120
  343,20150101,   24,  200,  120
  343,20150102,    1,  220,  120
  343,20150102,    2,  210,  100
  343,20150102,    3,  220,  110
  343,20150102,    4,  220,  110
  343,20150102,    5,  220,  100
  343,20150102,    6,  240,   90
  343,20150102,    7,  250,  100
  343,20150102,    8,  300,   90
  343,20150102,    9,  300,  110
  343,20150102,   10,  280,  110
  343,20150102,   11,  290,  100
  343,20150102,   12,  290,  100
  343,20150102,   13,  270,  100
  343,20150102,   14,  280,  100
  343,20150102,   15,  280,   90
  343,20150102,   16,  280,   80
  343,20150102,   17,  270,   80
  343,20150102,   18,  280,   90
  343,20150102,   19,  280,   90
  343,20150102,   20,  270,   80
  343,20150102,   21,  280,   80
  343,20150102,   22,  270,   70
  343,20150102,   23,  280,   70
  343,20150102,   24,  270,   60
  343,20150103,    1,  270,   60
  343,20150103,    2,  250,   60
  343,20150103,    3,  220,   50
  343,20150103,    4,  210,   40
  343,20150103,    5,  220,   50
  343,20150103,    6,  220,   70
  343,20150103,    7,  240,   60
  343,20150103,    8,  230,   50
  343,20150103,    9,  220,   70
  343,20150103,   10,  240,   70
  343,20150103,   11,  240,   70
  343,20150103,   12,  180,   60
  343,20150103,   13,  180,   40
  343,20150103,   14,  170,   30
  343,20150103,   15,  170,   20
  343,20150103,   16,  150,   10
  343,20150103,   17,  320,   10
  343,20150103,   18,  260,   20
  343,20150103,   19,  290,   30
  343,20150103,   20,  310,   50
  343,20150103,   21,  300,   60
  343,20150103,   22,  320,   40
  343,20150103,   23,  330,   50
  343,20150103,   24,  310,   50
  343,20150104,    1,  300,   40
  343,20150104,    2,  310,   40
  343,20150104,    3,  310,   50
  343,20150104,    4,  310,   50
  343,20150104,    5,  310,   40
  343,20150104,    6,  310,   40
  343,20150104,    7,  310,   40
  343,20150104,    8,  320,   40
  343,20150104,    9,  300,   30
  343,20150104,   10,  310,   40
  343,20150104,   11,  300,   60
  343,20150104,   12,  300,   60
  343,20150104,   13,  300,   50
  343,20150104,   14,  300,   50
  343,20150104,   15,  280,   30
  343,20150104,   16,  260,   30
  343,20150104,   17,  250,   40
  343,20150104,   18,  260,   40
  343,20150104,   19,  230,   30
  343,20150104,   20,  240,   40
  343,20150104,   21,  240,   40
  343,20150104,   22,  230,   40
  343,20150104,   23,  220,   50
  343,20150104,   24,  230,   50
  343,20150105,    1,  230,   40
  343,20150105,    2,  230,   50
  343,20150105,    3,  240,   50
  343,20150105,    4,  230,   50
  343,20150105,    5,  220,   50
  343,20150105,    6,  220,   50
  343,20150105,    7,  200,   50
  343,20150105,    8,  200,   50
  343,20150105,    9,  170,   40
  343,20150105,   10,  190,   50
  343,20150105,   11,  180,   50
  343,20150105,   12,  180,   40
  343,20150105,   13,  180,   50
  343,20150105,   14,  190,   40
  343,20150105,   15,  190,   40
  343,20150105,   16,  180,   40
  343,20150105,   17,  170,   40
  343,20150105,   18,  180,   40
  343,20150105,   19,  180,   40
  343,20150105,   20,  190,   40
  343,20150105,   21,  190,   40
  343,20150105,   22,  190,   40
  343,20150105,   23,  180,   30
  343,20150105,   24,  180,   30
  343,20150106,    1,  180,   40
  343,20150106,    2,  180,   40
  343,20150106,    3,  190,   30
  343,20150106,    4,  170,   30
  343,20150106,    5,  150,   30
  343,20150106,    6,  150,   40
  343,20150106,    7,  150,   40
  343,20150106,    8,  190,   40
  343,20150106,    9,  180,   40
  343,20150106,   10,  180,   50
  343,20150106,   11,  220,   50
  343,20150106,   12,  200,   50
  343,20150106,   13,  190,   40
  343,20150106,   14,  190,   50
  343,20150106,   15,  190,   50
  343,20150106,   16,  190,   50
  343,20150106,   17,  190,   60
  343,20150106,   18,  190,   60
  343,20150106,   19,  220,   70
  343,20150106,   20,  290,   60
  343,20150106,   21,  300,   80
  343,20150106,   22,  300,   70
  343,20150106,   23,  300,   60
  343,20150106,   24,  300,   50
  343,20150107,    1,  280,   40
  343,20150107,    2,  270,   40
  343,20150107,    3,  290,   40
  343,20150107,    4,  260,   20
  343,20150107,    5,  230,   30
  343,20150107,    6,  240,   40
  343,20150107,    7,  220,   50
  343,20150107,    8,  220,   60
  343,20150107,    9,  220,   50
  343,20150107,   10,  220,   60
  343,20150107,   11,  200,   60
  343,20150107,   12,  220,   60
  343,20150107,   13,  220,   60
  343,20150107,   14,  210,   70
  343,20150107,   15,  200,   70
  343,20150107,   16,  190,   70
  343,20150107,   17,  190,   70
  343,20150107,   18,  190,   70
  343,20150107,   19,  190,   80
  343,20150107,   20,  190,   80
  343,20150107,   21,  190,   90
  343,20150107,   22,  190,   90
  343,20150107,   23,  190,   90
  343,20150107,   24,  190,   90
  343,20150108,    1,  190,   90
  343,20150108,    2,  200,   90
  343,20150108,    3,  210,   90
  343,20150108,    4,  220,  100
  343,20150108,    5,  220,  100
  343,20150108,    6,  210,   80
  343,20150108,    7,  220,   90
  343,20150108,    8,  210,   90
  343,20150108,    9,  220,   90
  343,20150108,   10,  220,   80
  343,20150108,   11,  230,   70
  343,20150108,   12,  260,   50
  343,20150108,   13,  320,   40
  343,20150108,   14,  310,   70
  343,20150108,   15,  310,   60
  343,20150108,   16,  290,   60
  343,20150108,   17,  270,   60
  343,20150108,   18,  260,   80
  343,20150108,   19,  250,   80
  343,20150108,   20,  260,   80
  343,20150108,   21,  260,   70
  343,20150108,   22,  240,   70
  343,20150108,   23,  220,   60
  343,20150108,   24,  220,   80
  343,20150109,    1,  220,   80
  343,20150109,    2,  210,   80
  343,20150109,    3,  190,   80
  343,20150109,    4,  200,  100
  343,20150109,    5,  220,  100
  343,20150109,    6,  220,  120
  343,20150109,    7,  220,  120
  343,20150109,    8,  230,  110
  343,20150109,    9,  230,  120
  343,20150109,   10,  240,  120
  343,20150109,   11,  240,  110
  343,20150109,   12,  240,  110
  343,20150109,   13,  250,  100
  343,20150109,   14,  250,  120
  343,20150109,   15,  240,   90
  343,20150109,   16,  230,   90
  343,20150109,   17,  240,  100
  343,20150109,   18,  240,  100
  343,20150109,   19,  250,  110
  343,20150109,   20,  250,  130
  343,20150109,   21,  240,  130
  343,20150109,   22,  240,  130
  343,20150109,   23,  240,  130
  343,20150109,   24,  240,  120
  343,20150110,    1,  240,  120
  343,20150110,    2,  240,  110
  343,20150110,    3,  240,  140
  343,20150110,    4,  240,  150
  343,20150110,    5,  230,  150
  343,20150110,    6,  230,  150
  343,20150110,    7,  230,  150
  343,20150110,    8,  230,  160
  343,20150110,    9,  230,  160
  343,20150110,   10,  240,  160
  343,20150110,   11,  240,  170
  343,20150110,   12,  240,  160
  343,20150110,   13,  290,  140
  343,20150110,   14,  290,  100
  343,20150110,   15,  300,  120
  343,20150110,   16,  280,  110
  343,20150110,   17,  290,  120
  343,20150110,   18,  280,  100
  343,20150110,   19,  280,  100
  343,20150110,   20,  280,   90
  343,20150110,   21,  280,  100
  343,20150110,   22,  270,   90
  343,20150110,   23,  280,   90
  343,20150110,   24,  270,   90
  343,20150111,    1,  270,   90
  343,20150111,    2,  270,   90
  343,20150111,    3,  270,   90
  343,20150111,    4,  280,  100
  343,20150111,    5,  280,  100
  343,20150111,    6,  280,  120
  343,20150111,    7,  280,  120
  343,20150111,    8,  280,  120
  343,20150111,    9,  280,  120
  343,20150111,   10,  280,  120
  343,20150111,   11,  280,  110
  343,20150111,   12,  280,  120
  343,20150111,   13,  270,  110
  343,20150111,   14,  270,  110
  343,20150111,   15,  260,   90
  343,20150111,   16,  260,   80
  343,20150111,   17,  260,   90
  343,20150111,   18,  260,  100
  343,20150111,   19,  250,   90
  343,20150111,   20,  250,   90
  343,20150111,   21,  250,  100
  343,20150111,   22,  250,  100
  343,20150111,   23,  260,  100
  343,20150111,   24,  250,  100
  343,20150112,    1,  250,   90
  343,20150112,    2,  250,   90
  343,20150112,    3,  240,   80
  343,20150112,    4,  210,   80
  343,20150112,    5,  220,  100
  343,20150112,    6,  220,  100
  343,20150112,    7,  220,   90
  343,20150112,    8,  220,  100
  343,20150112,    9,  230,  110
  343,20150112,   10,  220,  120
  343,20150112,   11,  220,  120
  343,20150112,   12,  220,  110
  343,20150112,   13,  220,  120
  343,20150112,   14,  220,  110
  343,20150112,   15,  220,  100
  343,20150112,   16,  200,  100
  343,20150112,   17,  200,  110
  343,20150112,   18,  210,   90
  343,20150112,   19,  220,  110
  343,20150112,   20,  210,  100
  343,20150112,   21,  210,  110
  343,20150112,   22,  200,  110
  343,20150112,   23,  210,  100
  343,20150112,   24,  200,  100
  343,20150113,    1,  200,  110
  343,20150113,    2,  200,  120
  343,20150113,    3,  200,  120
  343,20150113,    4,  210,  110
  343,20150113,    5,  210,  100
  343,20150113,    6,  210,   90
  343,20150113,    7,  200,  110
  343,20150113,    8,  220,  100
  343,20150113,    9,  230,   80
  343,20150113,   10,  230,   80
  343,20150113,   11,  220,   80
  343,20150113,   12,  220,   80
  343,20150113,   13,  230,   80
  343,20150113,   14,  220,   70
  343,20150113,   15,  230,   80
  343,20150113,   16,  220,   70
  343,20150113,   17,  230,   90
  343,20150113,   18,  220,  100
  343,20150113,   19,  240,   80
  343,20150113,   20,  230,   70
  343,20150113,   21,  230,   60
  343,20150113,   22,  230,   70
  343,20150113,   23,  220,   80
  343,20150113,   24,  220,   80
  343,20150114,    1,  230,   90
  343,20150114,    2,  230,   90
  343,20150114,    3,  230,   90
  343,20150114,    4,  220,   90
  343,20150114,    5,  220,  100
